sample	ethnicity	Population	color
HG02818	AFR	YRI	#3f007d
HG02666	AFR	YRI	#3f007d
HG02769	AFR	YRI	#3f007d
HG03452	AFR	YRI	#3f007d
HG03098	AFR	YRI	#3f007d
HG02559	AFR	YRI	#3f007d
HG02554	AFR	YRI	#3f007d
HG02145	AFR	YRI	#3f007d
HG03065	AFR	YRI	#3f007d
HG03130	AFR	YRI	#3f007d
HG02109	AFR	YRI	#3f007d
HG02055	AFR	YRI	#3f007d
NA19129	AFR	YRI	#3f007d
NA21487	AFR	YRI	#3f007d
NA19036	AFR	YRI	#3f007d
NA20355	AFR	YRI	#3f007d
HG03050	AFR	YRI	#3f007d
NA19331	AFR	YRI	#3f007d
NA19347	AFR	YRI	#3f007d
HG03041	AFR	YRI	#3f007d
HG02953	AFR	YRI	#3f007d
HG01890	AFR	YRI	#3f007d
HG02011	AFR	YRI	#3f007d
NA19384	AFR	YRI	#3f007d
HG03371	AFR	YRI	#3f007d
HG01960	AFR	YRI	#3f007d
HG02282	AFR	YRI	#3f007d
HG03520	AFR	YRI	#3f007d
NA19835	AFR	YRI	#3f007d
HG02717	AFR	YRI	#3f007d
HG02587	AFR	YRI	#3f007d
NA19159	AFR	YRI	#3f007d
NA19185	AFR	YRI	#3f007d
NA19434	AFR	YRI	#3f007d
HG02841	AFR	YRI	#3f007d
HG03471	AFR	YRI	#3f007d
HG03248	AFR	YRI	#3f007d
NA19983	AFR	YRI	#3f007d
NA21309	AFR	YRI	#3f007d
HG02976	AFR	YRI	#3f007d
HG02668	AFR	YRI	#3f007d
NA19239	AFR	YRI	#3f007d
NA19909	AFR	YRI	#3f007d
NA18505	AFR	YRI	#3f007d
NA18508	AFR	YRI	#3f007d
NA18522	AFR	YRI	#3f007d
HG02809	AFR	YRI	#3f007d
HG02818	AFR	YRI	#3f007d
NA19705	AFR	YRI	#3f007d
NA19836	AFR	YRI	#3f007d
HG02922	AFR	YRI	#3f007d
NA19036	AFR	YRI	#3f007d
HG02280	AFR	YRI	#3f007d
HG03456	AFR	YRI	#3f007d
HG02984	AFR	YRI	#3f007d
NA19240	AFR	YRI	#3f007d
NA19317	AFR	YRI	#3f007d
HG02451	AFR	YRI	#3f007d
HG01884	AFR	YRI	#3f007d
HG01891	AFR	YRI	#3f007d
HG02572	AFR	YRI	#3f007d
NA19391	AFR	YRI	#3f007d
HG02886	AFR	YRI	#3f007d
HG02615	AFR	YRI	#3f007d
HG02622	AFR	YRI	#3f007d
HG02630	AFR	YRI	#3f007d
HG02647	AFR	YRI	#3f007d
NA19238	AFR	YRI	#3f007d
HG03470	AFR	YRI	#3f007d
NA19043	AFR	YRI	#3f007d
HG02723	AFR	YRI	#3f007d
NA20282	AFR	YRI	#3f007d
NA20346	AFR	YRI	#3f007d
NA19240	AFR	YRI	#3f007d
HG02583	AFR	YRI	#3f007d
HG03195	AFR	YRI	#3f007d
NA19443	AFR	YRI	#3f007d
NA19468	AFR	YRI	#3f007d
HG02965	AFR	YRI	#3f007d
NA19700	AFR	YRI	#3f007d
NA18906	AFR	YRI	#3f007d
HG03453	AFR	YRI	#3f007d
HG03486	AFR	YRI	#3f007d
NA20129	AFR	YRI	#3f007d
HG03521	AFR	YRI	#3f007d
HG03540	AFR	YRI	#3f007d
HG03139	AFR	YRI	#3f007d
NA19338	AFR	YRI	#3f007d
HG03369	AFR	YRI	#3f007d
HG02257	AFR	YRI	#3f007d
HG02258	AFR	YRI	#3f007d
HG03270	AFR	YRI	#3f007d
HG03516	AFR	YRI	#3f007d
NA18879	AFR	YRI	#3f007d
HG03209	AFR	YRI	#3f007d
HG03579	AFR	YRI	#3f007d
HG03583	AFR	YRI	#3f007d
HG03225	AFR	YRI	#3f007d
HG00738	AMR	PUR	#cb181d
HG01975	AMR	PUR	#cb181d
HG01978	AMR	PUR	#cb181d
HG00733	AMR	PUR	#cb181d
HG02004	AMR	PUR	#cb181d
HG01150	AMR	PUR	#cb181d
HG01123	AMR	PUR	#cb181d
HG01243	AMR	PUR	#cb181d
HG01074	AMR	PUR	#cb181d
HG00735	AMR	PUR	#cb181d
HG00642	AMR	PUR	#cb181d
HG02106	AMR	PUR	#cb181d
HG01106	AMR	PUR	#cb181d
HG01109	AMR	PUR	#cb181d
HG01071	AMR	PUR	#cb181d
HG00731	AMR	PUR	#cb181d
HG00733	AMR	PUR	#cb181d
HG01352	AMR	PUR	#cb181d
HG01496	AMR	PUR	#cb181d
HG01981	AMR	PUR	#cb181d
HG00741	AMR	PUR	#cb181d
HG01940	AMR	PUR	#cb181d
HG02148	AMR	PUR	#cb181d
HG01573	AMR	PUR	#cb181d
NA19682	AMR	PUR	#cb181d
HG01361	AMR	PUR	#cb181d
HG00732	AMR	PUR	#cb181d
NA19776	AMR	PUR	#cb181d
HG01167	AMR	PUR	#cb181d
HG01192	AMR	PUR	#cb181d
HG01993	AMR	PUR	#cb181d
HG01457	AMR	PUR	#cb181d
HG01099	AMR	PUR	#cb181d
HG01928	AMR	PUR	#cb181d
NA19650	AMR	PUR	#cb181d
HG01943	AMR	PUR	#cb181d
HG01433	AMR	PUR	#cb181d
HG01358	AMR	PUR	#cb181d
HG02273	AMR	PUR	#cb181d
HG00639	AMR	PUR	#cb181d
HG01934	AMR	PUR	#cb181d
HG02300	AMR	PUR	#cb181d
HG01175	AMR	PUR	#cb181d
HG01114	AMR	PUR	#cb181d
HG01258	AMR	PUR	#cb181d
HG01081	AMR	PUR	#cb181d
HG01952	AMR	PUR	#cb181d
HG01252	AMR	PUR	#cb181d
HG01969	AMR	PUR	#cb181d
HG02293	AMR	PUR	#cb181d
HG01346	AMR	PUR	#cb181d
HG01255	AMR	PUR	#cb181d
HG01261	AMR	PUR	#cb181d
HG002	ASK	NA	NA
NA24385	ASK	NA	NA
HG00438	EAS	KHV	#084594
HG02059	EAS	KHV	#084594
HG00658	EAS	KHV	#084594
HG02027	EAS	KHV	#084594
HG02015	EAS	KHV	#084594
