sample	ethnicity	Population	color
HG02018	EAS	KHV	#084594
NA18983	EAS	KHV	#084594
NA18943	EAS	KHV	#084594
HG02074	EAS	KHV	#084594
HG00558	EAS	KHV	#084594
HG00408	EAS	KHV	#084594
HG02514	EAS	KHV	#084594
HG00423	EAS	KHV	#084594
HG01596	EAS	KHV	#084594
HG00544	EAS	KHV	#084594
HG00597	EAS	KHV	#084594
NA18971	EAS	KHV	#084594
HG00609	EAS	KHV	#084594
HG00621	EAS	KHV	#084594
NA18982	EAS	KHV	#084594
HG02083	EAS	KHV	#084594
HG02129	EAS	KHV	#084594
HG00673	EAS	KHV	#084594
HG00706	EAS	KHV	#084594
NA18948	EAS	KHV	#084594
NA18952	EAS	KHV	#084594
NA18960	EAS	KHV	#084594
HG02040	EAS	KHV	#084594
HG02056	EAS	KHV	#084594
HG00512	EAS	KHV	#084594
HG02071	EAS	KHV	#084594
HG00514	EAS	KHV	#084594
HG02080	EAS	KHV	#084594
NA18940	EAS	KHV	#084594
NA18534	EAS	KHV	#084594
HG02132	EAS	KHV	#084594
HG02135	EAS	KHV	#084594
NA19087	EAS	KHV	#084594
NA18945	EAS	KHV	#084594
HG02523	EAS	KHV	#084594
HG02155	EAS	KHV	#084594
NA18970	EAS	KHV	#084594
NA18967	EAS	KHV	#084594
HG00513	EAS	KHV	#084594
NA18974	EAS	KHV	#084594
NA18976	EAS	KHV	#084594
NA18747	EAS	KHV	#084594
HG02165	EAS	KHV	#084594
HG00864	EAS	KHV	#084594
HG02392	EAS	KHV	#084594
HG02391	EAS	KHV	#084594
NA18944	EAS	KHV	#084594
NA18939	EAS	KHV	#084594
NA18959	EAS	KHV	#084594
NA18620	EAS	KHV	#084594
NA18565	EAS	KHV	#084594
NA18989	EAS	KHV	#084594
NA18570	EAS	KHV	#084594
NA18608	EAS	KHV	#084594
HG02178	EAS	KHV	#084594
HG005	EAS	NA	NA
HG02486	EAS	NA	NA
HG00171	EUR	TSI	#7a0177
HG00280	EUR	TSI	#7a0177
HG00268	EUR	TSI	#7a0177
HG00272	EUR	TSI	#7a0177
HG00323	EUR	TSI	#7a0177
HG00329	EUR	TSI	#7a0177
HG00320	EUR	TSI	#7a0177
HG00321	EUR	TSI	#7a0177
HG00096	EUR	TSI	#7a0177
HG01505	EUR	TSI	#7a0177
HG00232	EUR	TSI	#7a0177
HG00358	EUR	TSI	#7a0177
HG00253	EUR	TSI	#7a0177
NA20799	EUR	TSI	#7a0177
HG00290	EUR	TSI	#7a0177
NA20806	EUR	TSI	#7a0177
NA20509	EUR	TSI	#7a0177
HG00099	EUR	TSI	#7a0177
HG00126	EUR	TSI	#7a0177
HG00344	EUR	TSI	#7a0177
HG00350	EUR	TSI	#7a0177
HG00140	EUR	TSI	#7a0177
HG00146	EUR	TSI	#7a0177
NA20805	EUR	TSI	#7a0177
NA12329	EUR	TSI	#7a0177
HG00235	EUR	TSI	#7a0177
NA20762	EUR	TSI	#7a0177
NA20752	EUR	TSI	#7a0177
HG00128	EUR	TSI	#7a0177
HG00097	EUR	TSI	#7a0177
NA20827	EUR	TSI	#7a0177
HG00133	EUR	TSI	#7a0177
HG01786	EUR	TSI	#7a0177
NA20503	EUR	TSI	#7a0177
NA20809	EUR	TSI	#7a0177
HG01530	EUR	TSI	#7a0177
HG01784	EUR	TSI	#7a0177
HG06807	OTH	NA	NA
HG02492	SAS	STU	#005a32
HG02698	SAS	STU	#005a32
HG02602	SAS	STU	#005a32
HG02735	SAS	STU	#005a32
HG02738	SAS	STU	#005a32
HG03683	SAS	STU	#005a32
HG03704	SAS	STU	#005a32
HG03009	SAS	STU	#005a32
NA20847	SAS	STU	#005a32
HG03017	SAS	STU	#005a32
HG03804	SAS	STU	#005a32
HG03816	SAS	STU	#005a32
HG03831	SAS	STU	#005a32
HG03834	SAS	STU	#005a32
HG03874	SAS	STU	#005a32
HG03927	SAS	STU	#005a32
HG03654	SAS	STU	#005a32
HG03669	SAS	STU	#005a32
HG03688	SAS	STU	#005a32
HG04160	SAS	STU	#005a32
HG03710	SAS	STU	#005a32
HG03742	SAS	STU	#005a32
HG03784	SAS	STU	#005a32
HG04204	SAS	STU	#005a32
HG04228	SAS	STU	#005a32
HG03732	SAS	STU	#005a32
HG03807	SAS	STU	#005a32
HG04036	SAS	STU	#005a32
HG04217	SAS	STU	#005a32
HG03942	SAS	STU	#005a32
HG04115	SAS	STU	#005a32
HG04157	SAS	STU	#005a32
HG03239	SAS	STU	#005a32
HG04184	SAS	STU	#005a32
HG04187	SAS	STU	#005a32
HG04199	SAS	STU	#005a32
NA20850	SAS	STU	#005a32
NA20870	SAS	STU	#005a32
NA20905	SAS	STU	#005a32
NA21093	SAS	STU	#005a32
NA21102	SAS	STU	#005a32
NA21106	SAS	STU	#005a32
NA21110	SAS	STU	#005a32
NA21144	SAS	STU	#005a32
